video_id,is_primary_language,language,title,description,keywords,caption_file,audio_track_file,audio_content_type
0807,no,bg,Здравейте.,"Здравей, Китай!Здравей, свят!",,Здравей_bul.srt,1234.srt,
0807,no,fi,Haloo.,"Hei, Kiina!Hei, maailma!",,Haloo._fin.srt,2020-08-07.csv,localized_audio
0807,no,en,Hello,"Hello, China! Hello, world!",,Hello_en.srt,2020-08-07.csv,localized_audio
0807,no,de,Hallo!,"Hallo, China!Hallo, Welt!",,Hallo!_de.srt,2020-08-07.csv,localized_audio
0807,no,ar,مرحباً,مرحبا الصينمرحبا العالم,,مرحباً_ara.srt,2020-08-07.csv,localized_audio
1234,no,en,Hello,Why are you so nice,"Hello, good, bad",,,
,no,en,,,Key words 1|key words 2|keywords,,,
1234,no,en,ha-ha,Hello world,Hello world key,,,
111,no,en,Hello,Hello world,Hello|world|precious,,,
,no,en,,,,,,
,no,en,,,,,,
,no,en,,,,,,
,no,en,,,,,,
,no,en,,,,,,
,no,pt,,,,,,
,no,pt,,,,,,
,no,en,,you,,,,
